"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1592326";"";"";"Small molecule";"";"466.49";"10";"11";"5.55";"92.87";"6";"1";"1";"7";"N";"0.36";"9.17";"4.81";"3.52";"3.51";"4";"MOL";"-1";"35";"7";"1";"1";"466.1529";"-1.23";"NEUTRAL";"C28H22N2O5";"Cc1ccc(C(=O)C2=C(O)C(=O)N(Cc3cccnc3)C2c2cccc(Oc3ccccc3)c2)o1";"OIHLPEJCKIOBBO-UHFFFAOYSA-N"
"CHEMBL4076537";"";"";"Small molecule";"";"512.65";"2";"4";"0.58";"117.28";"8";"2";"1";"12";"N";"0.42";"10.15";"6.33";"0.98";"0.95";"2";"MOL";"-1";"34";"10";"2";"1";"512.1763";"-0.93";"NEUTRAL";"C22H32N4O6S2";"COc1ccc(S(=O)(=O)NCCN2CCN(CCNS(=O)(=O)c3ccc(OC)cc3)CC2)cc1";"KGYGRQRQVCVCDA-UHFFFAOYSA-N"
"CHEMBL1337304";"";"";"Small molecule";"";"343.32";"44";"55";"2.32";"109.62";"6";"1";"0";"3";"N";"0.40";"6.56";"None";"2.68";"1.82";"2";"MOL";"-1";"24";"8";"1";"0";"343.0263";"-2.02";"NEUTRAL";"C15H9N3O5S";"O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C\c1ccc([N+](=O)[O-])s1";"YUSHBRYZJAWKNT-FLIBITNWSA-N"
"CHEMBL560136";"";"";"Small molecule";"";"331.75";"3";"4";"3.15";"82.70";"5";"3";"0";"4";"N";"0.64";"7.35";"7.98";"2.85";"2.87";"3";"MOL";"-1";"23";"5";"3";"0";"331.0611";"-0.07";"NEUTRAL";"C17H14ClNO4";"O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12";"OEBMCHWLROZTPG-UHFFFAOYSA-N"
"CHEMBL4098925";"";"";"Small molecule";"";"521.49";"2";"3";"1.87";"98.82";"6";"2";"1";"10";"N";"0.50";"9.33";"6.31";"2.51";"2.47";"2";"MOL";"-1";"32";"8";"2";"1";"520.0773";"-1.15";"NEUTRAL";"C20H26Cl2N4O4S2";"O=S(=O)(NCCN1CCN(CCNS(=O)(=O)c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1";"BMNWNBCMAJDHMD-UHFFFAOYSA-N"
"CHEMBL3120359";"";"";"Small molecule";"";"391.21";"1";"1";"3.92";"42.23";"2";"1";"0";"4";"N";"0.69";"3.74";"None";"4.59";"1.30";"3";"MOL";"-1";"21";"3";"1";"0";"391.0069";"-1.36";"ACID";"C17H14INO2";"O=C(O)Cc1cn(Cc2cccc(I)c2)c2ccccc12";"MMJBFMPRVWJSPS-UHFFFAOYSA-N"
"CHEMBL1375490";"";"";"Small molecule";"";"346.21";"20";"29";"3.25";"67.51";"4";"1";"0";"3";"N";"0.30";"4.91";"None";"3.54";"1.08";"2";"MOL";"-1";"24";"4";"1";"0";"346.0264";"0.02";"ACID";"C15H7F5O4";"Cc1cc(O)c(C(=O)/C=C/c2c(F)c(F)c(F)c(F)c2F)c(=O)o1";"CRBBJWGAICUESA-NSCUHMNNSA-N"
"CHEMBL4076812";"";"";"Small molecule";"";"549.55";"2";"5";"2.65";"98.82";"6";"2";"1";"12";"N";"0.40";"9.18";"7.22";"2.63";"2.40";"2";"MOL";"-1";"34";"8";"2";"1";"548.1086";"-1.26";"NEUTRAL";"C22H30Cl2N4O4S2";"O=S(=O)(NCCCN1CCN(CCCNS(=O)(=O)c2cccc(Cl)c2)CC1)c1cccc(Cl)c1";"ZYRJUVZTUNGONY-UHFFFAOYSA-N"
"CHEMBL296595";"";"";"Small molecule";"";"279.66";"61";"62";"2.55";"86.72";"5";"3";"0";"2";"N";"0.67";"4.81";"None";"2.67";"1.77";"1";"MOL";"-1";"19";"6";"3";"0";"279.0323";"-1.71";"ACID";"C11H7ClFN5O";"Oc1[nH]c(Nc2ccc(F)c(Cl)c2)nc2ncnc1-2";"QCVDQVZWWDKIKH-UHFFFAOYSA-N"
"CHEMBL3904528";"";"";"Small molecule";"";"321.41";"2";"5";"4.19";"66.49";"5";"2";"0";"2";"N";"0.58";"11.63";"5.80";"4.88";"4.87";"4";"MOL";"-1";"23";"5";"2";"0";"321.1048";"-2.01";"NEUTRAL";"C17H15N5S";"c1ccc2[nH]c(Nc3ncnc4sc5c(c34)CCCC5)nc2c1";"LBEZMOBGYVZEMI-UHFFFAOYSA-N"
"CHEMBL3893094";"";"";"Small molecule";"";"319.78";"2";"5";"2.81";"79.80";"6";"2";"0";"3";"N";"0.73";"11.31";"2.55";"3.29";"3.29";"3";"MOL";"-1";"21";"6";"2";"0";"319.0295";"-2.04";"NEUTRAL";"C13H10ClN5OS";"Cc1c(Cl)sc2ncnc(NNC(=O)c3ccccn3)c12";"JPHRIZXXLQBRPI-UHFFFAOYSA-N"
"CHEMBL15985";"";"";"Small molecule";"";"267.29";"6";"9";"2.24";"86.72";"5";"3";"0";"2";"N";"0.66";"4.82";"None";"2.94";"2.03";"1";"MOL";"-1";"20";"6";"3";"0";"267.1120";"-0.95";"ACID";"C14H13N5O";"Oc1[nH]c(Nc2ccc3c(c2)CCC3)nc2ncnc1-2";"NEGTVXJJUKTMCG-UHFFFAOYSA-N"
"CHEMBL428647";"PACLITAXEL";"(-)-PACLITAXEL|ABI-007|ABI-007 COMPONENT PACLITAXEL|Abraxane|BMS 181339-01|BMS-181339-01|CAPXOL|CYCLOPAX|DHP 107|DHP-107|EBETAXEL|EMPAC|ENDOTAG 1|GENAXOL|GENETAXYL|GENEXOL|GENEXOL-PM|INTAXEL|LEP-ETU|MBT 0206|MBT-0206|MITOTAX|NK 105|NK-105|NSC-125973|ONCOGEL|ONXAL|ONXOL|PACITAXEL|PACLIEX|PACLITAXEL|PACLITAXEL (TAXUS CANADENSIS)|PACLITAXOL|PAXENE|PLAXICEL|QW-8184|TAXALBIN|TAXOL|TAXOL 100|TAXOL A|TAXUS|TAXUS LIBERTE|TAXUS STENT|TOCOSOL PACLITAXEL|Taxol|YEWTAXAN";"Small molecule";"4.0";"853.92";"874";"7189";"3.74";"221.29";"14";"4";"2";"10";"N";"0.13";"11.90";"None";"3.54";"3.54";"3";"MOL";"0";"62";"15";"4";"2";"853.3310";"1.87";"NEUTRAL";"C47H51NO14";"CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O";"RCINICONZNJXQF-MZXODVADSA-N"
"CHEMBL1385808";"";"";"Small molecule";"";"493.94";"35";"63";"0.03";"164.63";"9";"5";"0";"3";"N";"0.39";"2.57";"6.61";"-3.31";"-4.79";"1";"MOL";"-1";"33";"10";"6";"1";"457.1849";"0.99";"ACID";"C23H28ClN3O7";"CN(C)c1ccc(O)c2c1CC1CC3[C@@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@]3(O)C(=O)C1=C2O.Cl";"WTJXVDPDEQKTCV-CGZJLBCRSA-N"
"CHEMBL3897847";"";"";"Small molecule";"";"271.31";"2";"5";"1.84";"79.80";"6";"2";"0";"3";"N";"0.71";"11.50";"3.41";"2.01";"2.01";"3";"MOL";"-1";"19";"6";"2";"0";"271.0528";"-2.56";"NEUTRAL";"C12H9N5OS";"O=C(NNc1ncnc2sccc12)c1ccccn1";"BUBFHMGGWVNULN-UHFFFAOYSA-N"
"CHEMBL1336054";"";"";"Small molecule";"";"280.32";"56";"73";"3.27";"54.37";"3";"1";"0";"3";"N";"0.69";"9.64";"None";"4.24";"4.24";"2";"MOL";"-1";"21";"3";"1";"0";"280.1099";"0.03";"NEUTRAL";"C18H16O3";"Cc1ccc(/C=C/C(=O)c2ccccc(=O)c2O)c(C)c1";"ODTXUWRROVEXCV-MDZDMXLPSA-N"
"CHEMBL485294";"";"";"Small molecule";"";"365.43";"1";"3";"2.13";"74.43";"4";"2";"0";"5";"N";"0.54";"None";"6.27";"3.13";"3.10";"3";"MOL";"-1";"27";"6";"2";"0";"365.1739";"-1.03";"NEUTRAL";"C21H23N3O3";"O=C(NCCCN1CCOCC1)c1cccc2c(=O)c3ccccc3[nH]c12";"YXFJWJQSCDDJGP-UHFFFAOYSA-N"
"CHEMBL3934190";"";"";"Small molecule";"";"311.37";"2";"5";"2.33";"79.80";"6";"2";"0";"3";"N";"0.73";"11.79";"3.19";"3.15";"3.15";"3";"MOL";"-1";"22";"6";"2";"0";"311.0841";"-2.53";"NEUTRAL";"C15H13N5OS";"O=C(NNc1ncnc2sc3c(c12)CCC3)c1ccccn1";"VWNDBVMGLYTBSL-UHFFFAOYSA-N"
"CHEMBL1822708";"";"";"Small molecule";"";"847.04";"5";"13";"5.91";"185.88";"10";"6";"3";"14";"N";"0.07";"10.78";"12.45";"4.47";"3.26";"8";"MOL";"-1";"63";"16";"6";"4";"846.4554";"-0.72";"BASE";"C47H54N14O2";"CN1CCN(c2ccc3nc(-c4ccc5nc(CNC(=O)CCCCCC(=O)NCc6nc7ccc(-c8nc9ccc(N%10CCN(C)CC%10)cc9[nH]8)cc7[nH]6)[nH]c5c4)[nH]c3c2)CC1";"QLQUKABRBPSTSM-UHFFFAOYSA-N"
"CHEMBL1771800";"";"";"Small molecule";"";"323.36";"1";"1";"2.49";"89.03";"6";"2";"0";"5";"N";"0.70";"11.74";"8.24";"1.36";"0.51";"3";"MOL";"-1";"24";"7";"2";"0";"323.1382";"-1.90";"NEUTRAL";"C17H17N5O2";"CCOc1ccc2nc(C)cc(NNC(=O)c3cnccn3)c2c1";"KRVZWOHCBUSHPW-UHFFFAOYSA-N"
"CHEMBL4073008";"";"";"Small molecule";"";"548.65";"2";"4";"2.36";"98.82";"6";"2";"1";"12";"N";"0.40";"9.85";"7.23";"2.30";"2.07";"2";"MOL";"-1";"36";"8";"2";"1";"548.1739";"-1.26";"NEUTRAL";"C23H31F3N4O4S2";"O=S(=O)(NCCCN1CCN(CCCNS(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1)c1ccccc1";"GYYDAZDWWUECPD-UHFFFAOYSA-N"
"CHEMBL1771803";"";"";"Small molecule";"";"397.50";"1";"1";"3.82";"80.32";"5";"2";"0";"6";"N";"0.62";"10.21";"8.47";"4.24";"3.32";"3";"MOL";"-1";"28";"6";"2";"0";"397.1460";"-1.31";"NEUTRAL";"C21H23N3O3S";"CCOc1ccc2c(NNS(=O)(=O)c3ccccc3)c3c(nc2c1)CCCC3";"CIHQMWXACUCYMF-UHFFFAOYSA-N"
"CHEMBL2059080";"";"";"Small molecule";"";"462.41";"1";"3";"0.06";"179.28";"11";"6";"2";"5";"N";"0.30";"7.31";"None";"0.28";"-0.06";"3";"MOL";"-1";"33";"11";"6";"2";"462.1162";"1.85";"NEUTRAL";"C22H22O11";"COc1ccc(-c2cc(=O)c3c(O)cc(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)cc3o2)cc1O";"WKUHPOMCLBLCOV-OCVXTVMPSA-N"
"CHEMBL4075563";"";"";"Small molecule";"";"549.55";"2";"5";"2.65";"98.82";"6";"2";"1";"12";"N";"0.40";"8.94";"7.21";"2.63";"2.40";"2";"MOL";"-1";"34";"8";"2";"1";"548.1086";"-1.69";"NEUTRAL";"C22H30Cl2N4O4S2";"O=S(=O)(NCCCN1CCN(CCCNS(=O)(=O)c2ccccc2Cl)CC1)c1cccc(Cl)c1";"DBIYGYPOMFTPGX-UHFFFAOYSA-N"
"CHEMBL1771792";"";"";"Small molecule";"";"321.38";"1";"1";"3.70";"63.25";"4";"2";"0";"5";"N";"0.70";"12.93";"8.48";"3.41";"2.38";"3";"MOL";"-1";"24";"5";"2";"0";"321.1477";"-1.54";"NEUTRAL";"C19H19N3O2";"CCOc1ccc2c(NNC(=O)c3ccccc3)cc(C)nc2c1";"HEDHFMPNCAFABP-UHFFFAOYSA-N"
"CHEMBL1495335";"";"";"Small molecule";"";"378.52";"35";"39";"5.11";"32.34";"4";"1";"1";"6";"N";"0.43";"None";"1.51";"4.98";"4.98";"2";"MOL";"-1";"26";"3";"1";"1";"378.0861";"-1.29";"NEUTRAL";"C21H18N2OS2";"O=C1/C(=C/C=C/C=C/Nc2ccccc2)SC(=S)N1Cc1ccccc1";"PELKFTHIRBHGRQ-YGDSPFDBSA-N"
"CHEMBL4059548";"";"";"Small molecule";"";"591.20";"2";"4";"3.66";"98.82";"6";"2";"1";"13";"N";"0.29";"9.53";"7.23";"3.67";"3.44";"3";"MOL";"-1";"39";"8";"2";"1";"590.1788";"-1.06";"NEUTRAL";"C28H35ClN4O4S2";"O=S(=O)(NCCCN1CCN(CCCNS(=O)(=O)c2ccc(-c3ccccc3)cc2)CC1)c1ccc(Cl)cc1";"SBCOVZDGTKEXLU-UHFFFAOYSA-N"
"CHEMBL2059076";"";"4-Hydroxypyramidatine";"Small molecule";"";"338.41";"2";"5";"2.73";"78.43";"3";"3";"0";"8";"N";"0.51";"8.48";"None";"2.70";"2.67";"2";"MOL";"-1";"25";"5";"3";"0";"338.1630";"-0.27";"NEUTRAL";"C20H22N2O3";"O=C(/C=C/c1ccccc1)NCCCCNC(=O)c1ccc(O)cc1";"PUAOAVBHSGXXDN-MDWZMJQESA-N"
"CHEMBL366398";"";"";"Small molecule";"";"516.78";"1";"1";"4.74";"55.26";"6";"2";"1";"6";"N";"0.57";"None";"10.27";"4.02";"-2.88";"1";"MOL";"-1";"38";"6";"2";"1";"516.3940";"-0.32";"BASE";"C32H48N6";"c1cc(CN2CCC(C3=NC4CCCCC4N3)CC2)ccc1CN1CCC(C2=NC3CCCCC3N2)CC1";"ZBDVDQWRUZXDGE-UHFFFAOYSA-N"
"CHEMBL521602";"";"";"Small molecule";"";"329.36";"3";"6";"3.01";"74.85";"3";"2";"0";"3";"N";"0.57";"None";"4.14";"3.86";"3.86";"4";"MOL";"-1";"25";"5";"2";"0";"329.1164";"-1.13";"NEUTRAL";"C20H15N3O2";"O=C(NCc1ccccn1)c1cccc2c(=O)c3ccccc3[nH]c12";"ZXUBJWZWFKCCQJ-UHFFFAOYSA-N"
"CHEMBL2059285";"";"";"Small molecule";"";"438.74";"2";"5";"8.79";"17.07";"1";"0";"1";"5";"N";"0.39";"None";"None";"8.66";"8.66";"0";"MOL";"-1";"32";"1";"0";"1";"438.3862";"3.45";"NEUTRAL";"C31H50O";"C=C(C)C(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C";"FIBGAYXHSCIKKR-VYYIVRKGSA-N"
"CHEMBL4442492";"";"";"Unknown";"";"258.31";"2";"2";"2.18";"52.31";"6";"0";"0";"1";"N";"0.67";"None";"None";"2.17";"2.17";"3";"MOL";"-1";"18";"5";"0";"0";"258.0575";"-1.80";"NEUTRAL";"C12H10N4OS";"c1cc2c(c(-c3nn4cnnc4s3)c1)OCCC2";"APKAGHBVYCFQQD-UHFFFAOYSA-N"
"CHEMBL4070921";"";"";"Small molecule";"";"608.74";"2";"4";"2.70";"132.96";"6";"2";"1";"10";"N";"0.28";"9.77";"None";"1.95";"1.95";"4";"MOL";"-1";"42";"10";"2";"1";"608.1763";"-0.91";"NEUTRAL";"C30H32N4O6S2";"O=C(CCNS(=O)(=O)c1ccc2ccccc2c1)N1CCN(C(=O)CCNS(=O)(=O)c2ccc3ccccc3c2)CC1";"JSHQWNFHZBBDHR-UHFFFAOYSA-N"
"CHEMBL4077360";"";"";"Small molecule";"";"577.60";"2";"5";"3.43";"98.82";"6";"2";"1";"14";"N";"0.33";"9.34";"7.76";"3.66";"3.13";"2";"MOL";"-1";"36";"8";"2";"1";"576.1399";"-1.05";"NEUTRAL";"C24H34Cl2N4O4S2";"O=S(=O)(NCCCCN1CCN(CCCCNS(=O)(=O)c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1";"CKPCDBKMMNEHLK-UHFFFAOYSA-N"
"CHEMBL4574591";"";"";"Unknown";"";"296.31";"2";"2";"2.44";"78.09";"8";"0";"0";"3";"N";"0.58";"None";"2.51";"2.02";"2.02";"4";"MOL";"-1";"21";"7";"0";"0";"296.0480";"-2.25";"NEUTRAL";"C13H8N6OS";"c1ccc(Oc2ncncc2-c2nn3cnnc3s2)cc1";"JGZHUMQUTGUQSL-UHFFFAOYSA-N"
"CHEMBL3976505";"";"";"Small molecule";"";"309.40";"2";"5";"3.41";"63.06";"6";"1";"0";"3";"N";"0.59";"12.02";"2.98";"3.87";"3.87";"3";"MOL";"-1";"22";"5";"1";"0";"309.1048";"-2.31";"NEUTRAL";"C16H15N5S";"C/C(=N/Nc1ncnc2sc3c(c12)CCC3)c1ccccn1";"KRRPIXKBTHCVJS-JMIUGGIZSA-N"
"CHEMBL1771794";"";"";"Small molecule";"";"332.43";"1";"1";"2.05";"75.28";"6";"3";"0";"5";"N";"0.73";"12.56";"8.49";"1.55";"0.40";"2";"MOL";"-1";"23";"6";"3";"0";"332.1307";"-1.19";"NEUTRAL";"C16H20N4O2S";"CCOc1ccc2c(NNC(=O)[C@@H]3CSCN3)cc(C)nc2c1";"KNHJYWXHPNQFNE-HNNXBMFYSA-N"
"CHEMBL4094565";"";"";"Small molecule";"";"568.67";"2";"3";"0.74";"173.42";"8";"4";"1";"14";"N";"0.24";"3.23";"7.24";"-2.39";"-5.53";"2";"MOL";"-1";"38";"12";"4";"2";"568.1662";"-0.82";"ACID";"C24H32N4O8S2";"O=C(O)c1ccc(S(=O)(=O)NCCCN2CCN(CCCNS(=O)(=O)c3ccc(C(=O)O)cc3)CC2)cc1";"KUMZKJWHUFOFMC-UHFFFAOYSA-N"
"CHEMBL50";"QUERCETIN";"3'-HYDROXYKAEMPFEROL|C.I. 75670|C.I. Natural Red 1|CI-75670|CORVITIN|CYANIDENOLON 1522|KORVITIN|LDN 0052529|LDN-0052529|LIPOFLAVON|MELETIN|NSC 57655|NSC 9219|NSC-57655|NSC-9219|QUERCETIN|QUERCETIN (CONSTITUENT OF GINKGO)|QUERCETINE|QUERCETOL|QUERTIN|QUERTINE|SOPHORETIN|XANTHAURINE";"Small molecule";"3.0";"302.24";"603";"2635";"1.99";"131.36";"7";"5";"0";"1";"N";"0.43";"6.38";"None";"2.16";"1.00";"3";"MOL";"0";"22";"7";"5";"0";"302.0427";"1.70";"ACID";"C15H10O7";"O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12";"REFJWTPEDVJJIY-UHFFFAOYSA-N"
"CHEMBL1813561";"";"";"Small molecule";"";"890.07";"1";"1";"8.16";"191.12";"10";"4";"2";"9";"N";"0.11";"3.98";"5.08";"7.46";"7.55";"5";"MOL";"-1";"64";"14";"4";"3";"889.3720";"-0.10";"ACID";"C49H55N5O9S";"CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(-c4ccccc4)nc4cc(OC)ccc34)c(c2)/C=C\Cc2ccccc2S(=O)(=O)NC1=O";"GAYIYDGNWNXTNF-JCIIUMORSA-N"
"CHEMBL3937177";"";"";"Small molecule";"";"356.41";"2";"5";"2.74";"107.37";"7";"4";"0";"3";"N";"0.42";"8.50";"3.14";"4.47";"4.43";"3";"MOL";"-1";"25";"7";"4";"0";"356.0943";"-1.60";"NEUTRAL";"C17H16N4O3S";"O=C(NNc1ncnc2sc3c(c12)CCCC3)c1cc(O)ccc1O";"LSXFHOLDBJBRGI-UHFFFAOYSA-N"
"CHEMBL607670";"";"";"Small molecule";"";"311.25";"1";"1";"-3.33";"176.58";"10";"5";"0";"2";"N";"0.38";"9.84";"None";"-3.41";"-3.41";"2";"MOL";"-1";"22";"11";"6";"2";"311.0866";"1.03";"NEUTRAL";"C11H13N5O6";"Nc1nc(=O)c2c(ncn2C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1";"PQXXNVVBWVRCCL-VCGKEZLESA-N"
"CHEMBL4068893";"";"";"Small molecule";"";"233.70";"1";"1";"3.59";"35.25";"2";"1";"0";"3";"N";"0.88";"None";"9.15";"3.20";"1.47";"2";"MOL";"-1";"16";"2";"2";"0";"233.0607";"-0.74";"BASE";"C13H12ClNO";"NCc1ccc(Oc2ccccc2)c(Cl)c1";"HYDHGFACVHOYJY-UHFFFAOYSA-N"
"CHEMBL1589514";"";"";"Small molecule";"";"328.35";"50";"68";"2.12";"71.78";"5";"1";"0";"3";"N";"0.53";"7.21";"None";"2.46";"2.06";"2";"MOL";"-1";"23";"6";"1";"0";"328.0518";"-1.58";"NEUTRAL";"C16H12N2O4S";"COc1ccc(N2C(=O)/C(=C/c3ccco3)C(=O)NC2=S)cc1";"NAAKIKHAHVUSCG-UKTHLTGXSA-N"
"CHEMBL116438";"CURCUMIN";"C.I. 75300|C.I. NATURAL YELLOW 3|CI 75300|CI-75300|CURCUMIN|CURCUMIN E100|DIFERULOYLMETHANE|E 100|E-100|E100|HALDAR|INS NO. 100(I)|INS-100(I)|JIANGHUANGSU|KACHA HALDI|KURKUM|LIPOCURC|MERITA EARTH|NANOCURC|NSC-32982|NSC-687842|Natural Yellow 3|TURMERIC YELLOW";"Small molecule";"3.0";"368.39";"385";"1686";"3.85";"96.22";"6";"3";"0";"7";"N";"0.39";"8.79";"None";"3.76";"3.74";"2";"MOL";"0";"27";"6";"3";"0";"368.1260";"0.92";"NEUTRAL";"C21H20O6";"COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O";"ZIUSSTSXXLLKKK-KOBPDPAPSA-N"
"CHEMBL286494";"HYPERICIN";"HIPERICIN|HYPERICIN|HYPERICUM RED|NSC-407313|SGX-301|SGX301";"Antibody";"3.0";"504.45";"128";"260";"5.08";"155.52";"8";"6";"3";"0";"N";"0.12";"6.65";"3.37";"7.70";"6.41";"8";"MOL";"0";"38";"8";"6";"3";"504.0845";"0.61";"NEUTRAL";"C30H16O8";"Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65";"BTXNYTINYBABQR-UHFFFAOYSA-N"
"CHEMBL1771796";"";"";"Small molecule";"";"357.44";"1";"1";"3.25";"80.32";"5";"2";"0";"6";"N";"0.66";"10.27";"8.38";"3.07";"2.20";"3";"MOL";"-1";"25";"6";"2";"0";"357.1147";"-1.54";"NEUTRAL";"C18H19N3O3S";"CCOc1ccc2c(NNS(=O)(=O)c3ccccc3)cc(C)nc2c1";"IRDSKKMPRKTECO-UHFFFAOYSA-N"
"CHEMBL1813737";"";"";"Small molecule";"";"842.03";"1";"1";"7.03";"191.12";"10";"4";"2";"9";"N";"0.13";"3.82";"5.08";"5.45";"5.87";"4";"MOL";"-1";"60";"14";"4";"3";"841.3720";"-0.07";"ACID";"C45H55N5O9S";"CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(-c4ccccc4)nc4cc(OC)ccc34)c(c2)C/C=C/CCS(=O)(=O)NC1=O";"CSILOLLWVJJJJP-VESOXXTPSA-N"
"CHEMBL4076613";"";"";"Small molecule";"";"494.68";"2";"4";"1.65";"98.82";"6";"2";"0";"12";"N";"0.44";"9.98";"7.24";"1.93";"1.70";"2";"MOL";"-1";"33";"8";"2";"0";"494.2021";"-1.17";"NEUTRAL";"C23H34N4O4S2";"Cc1ccc(S(=O)(=O)NCCCN2CCN(CCCNS(=O)(=O)c3ccccc3)CC2)cc1";"NSVRPZYQFLWKMD-UHFFFAOYSA-N"
"CHEMBL3120363";"";"";"Small molecule";"";"310.31";"1";"1";"3.22";"85.37";"4";"1";"0";"5";"N";"0.58";"3.92";"None";"3.60";"0.40";"3";"MOL";"-1";"23";"6";"1";"0";"310.0954";"-1.49";"ACID";"C17H14N2O4";"O=C(O)Cc1cn(Cc2cccc([N+](=O)[O-])c2)c2ccccc12";"ACYMPHZSMJTWEL-UHFFFAOYSA-N"
"CHEMBL4066868";"";"";"Small molecule";"";"612.86";"2";"10";"4.31";"98.82";"6";"2";"1";"13";"N";"0.28";"9.96";"7.24";"4.61";"4.38";"3";"MOL";"-1";"42";"8";"2";"1";"612.2804";"-1.00";"NEUTRAL";"C32H44N4O4S2";"CC(C)(C)c1ccc(S(=O)(=O)NCCCN2CCN(CCCNS(=O)(=O)c3ccc(-c4ccccc4)cc3)CC2)cc1";"OXSOXWVENCCWLU-UHFFFAOYSA-N"
"CHEMBL2368690";"";"";"Small molecule";"";"741.57";"1";"1";"-2.37";"297.56";"13";"9";"3";"8";"N";"0.16";"0.74";"1.40";"-4.07";"-10.74";"1";"MOL";"-1";"33";"20";"9";"3";"538.9856";"1.26";"ACID";"C22H46N7O15P3";"CCN(CC)CC.CCN(CC)CC.O=C1NNC(=O)c2c(ncn2[C@H]2O[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]2O)N1";"HEMZXRUKJCLZJP-KOAXJDANSA-N"
"CHEMBL4470227";"";"";"Unknown";"";"254.31";"4";"5";"3.29";"35.01";"4";"0";"0";"1";"N";"0.67";"None";"3.84";"2.80";"2.80";"3";"MOL";"-1";"18";"3";"0";"0";"254.0514";"-1.20";"NEUTRAL";"C14H10N2OS";"c1cc2c(c(-c3nc4ccncc4s3)c1)OCC2";"FMXQNSZQHZPGLA-UHFFFAOYSA-N"
"CHEMBL422";"TRIFLUOPERAZINE";"AMYLOZINE|APO-TRIFLUOPERAZINE|FLURAZINE|NSC-17474|NSC-46061|RP-7623|STELAZINE|STELAZINE FTE|TRIFLUOPERAZINE|Trifluoperazine";"Small molecule";"4.0";"407.51";"230";"710";"4.95";"9.72";"4";"0";"0";"4";"N";"0.71";"None";"7.99";"4.66";"3.97";"2";"MOL";"0";"28";"3";"0";"0";"407.1643";"-1.51";"NEUTRAL";"C21H24F3N3S";"CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1";"ZEWQUBUPAILYHI-UHFFFAOYSA-N"
"CHEMBL269277";"BETULINIC ACID";".BETA.-BETULINIC ACID|ALS-357|BETULIC ACID|BETULINIC ACID|LUPATIC ACID|MAIRIN|NSC-113090|NSC-677578";"Small molecule";"1.0";"456.71";"247";"1233";"7.09";"57.53";"2";"2";"1";"2";"N";"0.44";"4.75";"None";"6.64";"4.04";"0";"MOL";"0";"33";"3";"2";"1";"456.3603";"3.07";"ACID";"C30H48O3";"C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12";"QGJZLNKBHJESQX-FZFNOLFKSA-N"
"CHEMBL4548906";"";"";"Unknown";"";"246.29";"4";"4";"2.25";"52.31";"6";"0";"0";"3";"N";"0.71";"None";"None";"2.05";"2.05";"3";"MOL";"-1";"17";"5";"0";"0";"246.0575";"-2.49";"NEUTRAL";"C11H10N4OS";"CCOc1ccccc1-c1nn2cnnc2s1";"OHKULYQAWFZRIU-UHFFFAOYSA-N"
