"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL261237";"";"SL-327";"Small molecule";"";"335.35";"74";"88";"4.23";"75.83";"4";"2";"0";"3";"N";"0.50";"None";"3.91";"3.80";"3.80";"2";"MOL";"-1";"23";"3";"4";"0";"335.0704";"-0.95";"NEUTRAL";"C16H12F3N3S";"N#C/C(=C(/N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F";"JLOXTZFYJNCPIS-FYWRMAATSA-N"
"CHEMBL3913532";"";"";"Small molecule";"";"331.44";"2";"5";"5.47";"37.81";"4";"1";"1";"2";"N";"0.53";"None";"2.93";"5.90";"5.90";"4";"MOL";"-1";"24";"3";"1";"1";"331.1143";"-1.90";"NEUTRAL";"C20H17N3S";"c1ccc2c(Nc3ncnc4sc5c(c34)CCCC5)cccc2c1";"LVUHGJMNFCHMOZ-UHFFFAOYSA-N"
"CHEMBL134204";"";"";"Small molecule";"";"298.26";"4";"6";"-2.32";"142.46";"8";"4";"0";"3";"N";"0.50";"5.37";"None";"-2.61";"-3.53";"2";"MOL";"-1";"21";"10";"4";"0";"298.0913";"1.19";"ACID";"C11H14N4O6";"CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH][nH]c(=O)c21";"SFMJBSIIVRJBCC-TZQXKBMNSA-N"
"CHEMBL4521406";"";"";"Unknown";"";"295.33";"2";"2";"3.04";"65.20";"7";"0";"0";"3";"N";"0.58";"None";"4.95";"2.13";"2.13";"4";"MOL";"-1";"21";"6";"0";"0";"295.0528";"-1.97";"NEUTRAL";"C14H9N5OS";"c1ccc(Oc2ccncc2-c2nn3cnnc3s2)cc1";"ABGAWOONVPNDTR-UHFFFAOYSA-N"
"CHEMBL1089152";"";"";"Small molecule";"";"345.36";"3";"5";"3.34";"84.08";"4";"2";"0";"3";"N";"0.56";"13.77";"2.69";"4.51";"4.51";"4";"MOL";"-1";"26";"6";"2";"0";"345.1113";"-0.74";"NEUTRAL";"C20H15N3O3";"COc1cccc2c(=O)c3cccc(C(=O)Nc4ccccn4)c3[nH]c12";"CCCLPBXTXWVQIT-UHFFFAOYSA-N"
"CHEMBL1257841";"";"";"Small molecule";"";"385.38";"4";"6";"4.32";"103.69";"6";"2";"0";"4";"N";"0.54";"7.14";"None";"4.49";"4.04";"4";"MOL";"-1";"29";"6";"2";"0";"385.0950";"0.21";"NEUTRAL";"C23H15NO5";"N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccccc4)oc3c2)c1";"TUPKOLKHCBSCGH-UHFFFAOYSA-N"
"CHEMBL1467976";"";"";"Small molecule";"";"416.48";"54";"80";"4.53";"81.43";"5";"1";"0";"5";"N";"0.62";"None";"2.49";"4.52";"4.52";"3";"MOL";"-1";"31";"6";"1";"0";"416.1736";"-1.18";"NEUTRAL";"C25H24N2O4";"O=C(COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2)NC1CCCC1";"HJLVADIYJRSVIR-JQIJEIRASA-N"
"CHEMBL2059286";"";"";"Small molecule";"";"452.77";"1";"3";"9.18";"17.07";"1";"0";"1";"5";"N";"0.38";"None";"None";"8.96";"8.96";"0";"MOL";"-1";"33";"1";"0";"1";"452.4018";"3.19";"NEUTRAL";"C32H52O";"C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C";"XLPUJQBSABTDNL-FATXZUKSSA-N"
"CHEMBL1813566";"";"";"Small molecule";"";"842.03";"1";"1";"7.34";"191.12";"10";"4";"2";"9";"N";"0.13";"3.82";"5.08";"5.54";"5.95";"4";"MOL";"-1";"60";"14";"4";"3";"841.3720";"-0.02";"ACID";"C45H55N5O9S";"CCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c2ccc(Oc3cc(-c4ccccc4)nc4cc(OC)ccc34)c(c2)/C=C\CCCS(=O)(=O)NC1=O";"GQWXKFJRXYSFII-UQAWCSKLSA-N"
"CHEMBL4556570";"";"";"Unknown";"";"217.26";"2";"2";"1.44";"69.10";"6";"1";"0";"1";"N";"0.63";"None";"2.27";"1.02";"1.02";"3";"MOL";"-1";"15";"5";"2";"0";"217.0422";"-2.36";"NEUTRAL";"C9H7N5S";"Nc1ccccc1-c1nn2cnnc2s1";"LXBAPDUJKAIRGJ-UHFFFAOYSA-N"
"CHEMBL54127";"";"";"Small molecule";"";"271.11";"3";"6";"2.81";"84.06";"5";"3";"0";"2";"N";"0.78";"12.49";"2.73";"3.43";"3.43";"2";"MOL";"-1";"17";"5";"4";"0";"270.0075";"-1.62";"NEUTRAL";"C10H8Cl2N4O";"Nc1nc(O)cc(Nc2ccc(Cl)c(Cl)c2)n1";"SQFJVHBOGMKABU-UHFFFAOYSA-N"
"CHEMBL4104767";"";"";"Small molecule";"";"606.86";"2";"4";"3.46";"115.89";"6";"2";"1";"11";"N";"0.38";"10.05";"6.32";"3.79";"3.75";"2";"MOL";"-1";"41";"9";"2";"1";"606.2910";"-1.27";"NEUTRAL";"C30H46N4O5S2";"CC(C)(C)c1ccc(S(=O)(=O)NCCCN2CCN(C(=O)CCNS(=O)(=O)c3ccc(C(C)(C)C)cc3)CC2)cc1";"GWOIVJBXJYWFGW-UHFFFAOYSA-N"
"CHEMBL551529";"";"";"Small molecule";"";"429.38";"1";"2";"4.05";"122.15";"8";"2";"0";"4";"N";"0.50";"7.13";"None";"4.11";"3.66";"4";"MOL";"-1";"32";"8";"2";"0";"429.0849";"0.30";"NEUTRAL";"C24H15NO7";"N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1";"HUDLJTDCXGYOKM-UHFFFAOYSA-N"
"CHEMBL4450465";"";"";"Unknown";"";"304.37";"4";"5";"5.15";"35.01";"4";"0";"1";"3";"N";"0.52";"None";"3.84";"4.42";"4.42";"4";"MOL";"-1";"22";"3";"0";"1";"304.0670";"-1.32";"NEUTRAL";"C18H12N2OS";"c1ccc(Oc2ccccc2-c2nc3ccncc3s2)cc1";"QOMZPLSHSJCHMP-UHFFFAOYSA-N"
"CHEMBL1254602";"";"";"Small molecule";"";"371.53";"3";"3";"2.54";"47.02";"5";"1";"0";"6";"N";"0.83";"10.95";"8.78";"1.47";"-0.97";"1";"MOL";"-1";"27";"5";"1";"0";"371.2573";"-0.28";"BASE";"C22H33N3O2";"O=c1c(CN2CCCC2)cc(CN2CCCC2)cc(CN2CCCC2)c1O";"RNHLYMGJTHWMPL-UHFFFAOYSA-N"
"CHEMBL4755354";"";"";"Unknown";"";"315.42";"4";"18";"2.71";"54.46";"4";"1";"0";"8";"N";"0.76";"None";"8.51";"2.98";"1.85";"2";"MOL";"-1";"23";"5";"1";"0";"315.1947";"-1.49";"BASE";"C18H25N3O2";"CCCCOc1cc(C(=O)NCCN(C)C)c2ccccc2n1";"KYNYSWROWCUJRS-UHFFFAOYSA-N"
"CHEMBL1610408";"";"";"Small molecule";"";"506.54";"11";"13";"4.22";"115.26";"9";"1";"1";"6";"N";"0.49";"7.59";"None";"2.43";"2.21";"3";"MOL";"-1";"36";"9";"1";"1";"506.1148";"-1.22";"NEUTRAL";"C26H22N2O7S";"COc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc(C)c(C(C)=O)s2)cc1";"DWKMMYWPFPATSH-UHFFFAOYSA-N"
